biotp,monthsnbMois
65,August
65,September
67,October
19,November
3,December
3,January
3,February
3,March
1,April
1,May
1,June
20,July
62,August
62,September
62,October
26,November
16,December
14,January
14,February
14,March
7,April
7,May
7,June
20,July
62,August
62,September
62,October
25,November
17,December
13,January
13,February
13,March
6,April
6,May
6,June
20,July
62,August
62,September
62,October
26,November
14,December
12,January
12,February
12,March
6,April
6,May
6,June
20,July
62,August
62,September
62,October
27,November
19,December
15,January
15,February
15,March
7,April
7,May
7,June
20,July
62,August
62,September
62,October
25,November
19,December
14,January
14,February
14,March
6,April
6,May
6,June
10,July
31,August
31,September
31,October
11,November
7,December
6,January
6,February
6,March
2,April
2,May
2,June
20,July
62,August
62,September
62,October
25,November
19,December
15,January
15,February
15,March
7,April
7,May
7,June
20,July
62,August
62,September
62,October
19,November
14,December
11,January
11,February
11,March
5,April
5,May
5,June
20,July
62,August
62,September
62,October
21,November
16,December
14,January
14,February
14,March
6,April
6,May
6,June
10,July
