prod_lait_Tr,prod_lait_Fr,monthsnbMois
20,110,August
20,104,September
17,109,October
12,115,November
12,102,December
12,108,January
12,110,February
12,116,March
12,106,April
12,113,May
12,108,June
87,107,July
59,113,August
59,112,September
55,107,October
55,106,November
45,111,December
43,112,January
43,113,February
43,104,March
40,113,April
40,109,May
40,104,June
87,108,July
59,111,August
59,107,September
55,105,October
53,107,November
46,117,December
42,107,January
42,105,February
42,105,March
39,105,April
39,111,May
39,108,June
95,112,July
87,109,August
87,108,September
83,108,October
72,110,November
63,106,December
60,117,January
60,110,February
60,101,March
35,109,April
35,118,May
35,118,June
87,110,July
59,113,August
59,110,September
55,107,October
57,106,November
50,114,December
45,113,January
45,110,February
45,102,March
45,113,April
45,113,May
45,109,June
87,106,July
59,114,August
59,113,September
55,113,October
58,110,November
51,110,December
47,109,January
47,111,February
47,113,March
50,108,April
50,106,May
50,109,June
87,108,July
59,103,August
59,108,September
55,111,October
56,108,November
50,111,December
46,109,January
46,110,February
46,111,March
45,115,April
45,104,May
45,111,June
87,107,July
59,112,August
59,112,September
55,109,October
54,115,November
49,111,December
45,104,January
45,109,February
45,111,March
44,110,April
44,111,May
44,115,June
87,108,July
59,112,August
59,107,September
55,101,October
56,116,November
48,111,December
45,106,January
45,115,February
45,107,March
44,109,April
44,112,May
44,105,June
95,114,July
87,109,August
87,106,September
83,106,October
73,107,November
61,109,December
57,107,January
57,110,February
57,107,March
28,103,April
28,112,May
28,107,June
87,110,July
